id,title,author,type,institution,publication_date,topic,cites,abstract,link
43,The tactics of successful attacks in professional association football - large-scale spatiotemporal analysis of dynamic subgroups using position tracking data,"Floris R. Goes, Michel S. Brink, Marije T. Elferink-Gemser, Matthias Kempe, Koen A.P.M. Lemmin",Paper,University of Groningen,27/10/2020,"Playing Style, Tracking Data",,"Association football teams can be considered complex dynamical systems of individuals grouped in subgroups (defenders, midfielders and attackers), coordinating their behaviour to achieve a shared goal. As research often focusses on collective behaviour, or on static subgroups, the current study aims to analyse spatiotemporal behaviour of dynamic subgroups in relation to successful attacks. We collected position tracking data of 118 Dutch Eredivisie matches, containing 12424 attacks. Attacks were classified as successful (N = 1237) or non-successful (N = 11187) based on the potential of creating a scoring opportunity. Using unsupervised machine learning, we automatically identified dynamic formations based on position tracking data, and identified dynamic subgroups for every timeframe in a match. We then compared the subgroup centroids to assess the intra- and inter-team spatiotemporal synchronisa-tion during successful and non-successful attacks, using circular statistics. Our results indicated sub-group-level variables provided more information, and were more sensitive to disruption, in comparison to team-level variables. When comparing successful and non-successful attacks, we found decreases (p < .01) in longitudinal inter- and intra-team synchrony of interactions involving the defenders of the attacking team during successful attacks. This study provides the first large-scale dynamic subgroup analysis and reveals additional insights to team-level analyses.",https://www.tandfonline.com/doi/pdf/10.1080/02640414.2020.1834689
44,Automatic Pass Annotation from Soccer VideoStreams Based on Object Detection and LSTM,"Danilo Sorano, Fabio Carrara, Paolo Cintia, Fabrizio Falchi, Luca Pappalardo",Paper,University of Pisa,13/07/2020,Computer Vision,,"Soccer analytics is attracting increasing interest in academiaand  industry,  thanks  to  the  availability  of  data  that  describe  all  thespatio-temporal  events  that  occur  in  each  match.  These  events  (e.g.,passes,  shots,  fouls)  are  collected  by  human  operators  manually,  con-stituting  a  considerable  cost  for  data  providers  in  terms  of  time  andeconomic resources. In this paper, we describe PassNet, a method to rec-ognize the most frequent events in soccer, i.e., passes, from video streams.Our model combines a set of artificial neural networks that perform fea-ture extraction from video streams, object detection to identify the posi-tions of the ball and the players, and classification of frame sequences aspasses or not passes. We test PassNet on different scenarios, dependingon the similarity of conditions to the match used for training. Our resultsshow good classification results and significant improvement in the accu-racy of pass detection with respect to baseline classifiers, even when thematch’s video conditions of the test and training sets are considerablydifferent. PassNet is the first step towards an automated event annota-tion system that may break the time and the costs for event annotation,enabling data collections for minor and non-professional divisions, youthleagues and, in general, competitions whose matches are not currentlyannotated by data providers.",https://arxiv.org/abs/2007.06475
45,A framework for the fine-grained evaluation of the instantaneous expected value of soccer possessions,"Javier Fernández, Luke Bornn, Daniel Cervone ",Paper,"Polytechnic University of Catalonia, FC Barcelona, Simon Fraser University, Zelus Analytics",18/11/2020,Possession & Action Value,,"The expected possession value (EPV) of a soccer possession represents the likelihood of a team scoring or receiving the next goal at any time instance. By decomposing the EPV into a series of subcomponents that are estimated separately, we develop a comprehensive analysis framework providing soccer practitioners with the ability to evaluate the impact of both observed and potential actions. We show we can obtain calibrated models for all the components of EPV, including a set of yet-unexplored problems in soccer. We produce visually-interpretable probability surfaces for potential passes from a series of deep neural network architectures that learn from low-level spatiotemporal data. Additionally, we present a series of novel practical applications providing coaches with an enriched interpretation of specific game situations. ",https://arxiv.org/abs/2011.09426
46,The DePo Models: Bringing Moneyball to Professional Soccer,"Sam Goldberg, Mike Imburgio",Blogpost,American Soccer Analysis,27/10/2020,Scouting,,"Underspending on top value is the goal of every player recruitment team and front office around the world. Originally made famous by Michael Lewis’ book describing Billy Beane and Paul DePodesta’s roster-building strategy with the Oakland Athletics of Major League Baseball, the process of identifying and signing these “diamonds in the rough” is often referred to as Moneyball. ",https://www.americansocceranalysis.com/home/2020/10/26/the-depo-models-bringing-moneyball-to-professional-soccer
47,Valuing Off-the-ball Movement,Ricardo Tavares,Blogpost,Independent,13/01/2020,Pitch Control,48,"Models that take into account positioning and movement allow us to value the space created by the attacking team, and potentially attribute that gain to an off-the-ball action. That is a new dimension that we can use to analyze the performance of teams that is not captured by the usual possession stats.",https://medium.com/football-crunching/valuing-off-the-ball-movement-59d1b6d0a69d
48,Quantifying Pitch Control,William Spearman,Presentation,Hudl,28/02/2016,Pitch Control,,"We define pitch control field (PCF) for location, x, as the probability that the home team will end up with possession of the ball if it were at location, x.  The PCF predicts the “next possessor”.",https://www.researchgate.net/publication/334849056_Quantifying_Pitch_Control
49,Evolving Our Possession Value Framework,Jonny Whitmore,Blogpost,StatsPerform,31/10/2020,Possession & Action Value,,"Over the course of the 2019/20 season, with the help of client and user feedback, we have evolved a number of features in the model framework. The new Possession Value (PV) framework was developed in response to concerns around the aggregation of the existing version at the game level, where team values were generally far larger than actual goals scored. In contrast to the original Possession Value framework that measured the probability that a team would score from their possession, the new Possession Value (PV) framework now uses a time-based approach, measuring the probability that a team in possession will score during the next 10 seconds. This approach was taken due to its superior model performance in comparison to different methodologies and alternative target variables, giving us much more interpretable outputs.",https://www.statsperform.com/resource/evolving-our-possession-value-framework/
50,Measuring Freedom,Sagnik Das,Blogpost,Independent,29/12/2020,Playing Style,,"Freedom in football is common parlance. It’s usually associated with creative midfielders who move into channels to receive passes. Still despite being such an easily understandable concept, there isn’t exactly a way to definitively say that ‘player X’ has more freedom than ‘Player Y’. I propose a new Metric, called FR (Freedom Rating) that puts a mathematical number behind how free a player’s role truly is.",https://sagnikdas1.medium.com/measuring-freedom-87cfdf39bb0c
51,Using Player's Body-Orientation to Model Pass Feasibility in Soccer,"Adrià Arbués-Sangüesa, Adrián Martín, Javier Fernández, Coloma Ballester, Gloria Haro",Paper,"Universitat Pompeu Fabra, FC Barcelona",15/04/2020,"Computer Vision, Pose Estimation, Pitch Control, Possession & Action Value",,"Given a monocular video of a soccer match, this paper presents a computational model to estimate the most feasible pass at any given time. The method leverages offensive player's orientation (plus their location) and opponents' spatial configuration to compute the feasibility of pass events within players of the same team. Orientation data is gathered from body pose estimations that are properly projected onto the 2D game field; moreover, a geometrical solution is provided, through the definition of a feasibility measure, to determine which players are better oriented towards each other. Once analyzed more than 6000 pass events, results show that, by including orientation as a feasibility measure, a robust computational model can be built, reaching more than 0.7 Top-3 accuracy. Finally, the combination of the orientation feasibility measure with the recently introduced Expected Possession Value metric is studied; promising results are obtained, thus showing that existing models can be refined by using orientation as a key feature. These models could help both coaches and analysts to have a better understanding of the game and to improve the players' decision-making process.",https://arxiv.org/abs/2004.07209
52,Always Look on the Bright Side of the Field - Merging Pose and Contextual Data to Estimate Orientation of Soccer Players,"Adrià Arbués-Sangüesa, Adrián Martín, Javier Fernández, Carlos Rodríguez, Gloria Haro, Coloma Ballester",Paper,"Universitat Pompeu Fabra, FC Barcelona",02/03/2020,"Computer Vision, Pose Estimation",,"Although orientation has proven to be a key skill of soccer players in order to succeed in a broad spectrum of plays, body orientation is a yet-little-explored area in sports analytics' research. Despite being an inherently ambiguous concept, player orientation can be defined as the projection (2D) of the normal vector placed in the center of the upper-torso of players (3D). This research presents a novel technique to obtain player orientation from monocular video recordings by mapping pose parts (shoulders and hips) in a 2D field by combining OpenPose with a super-resolution network, and merging the obtained estimation with contextual information (ball position). Results have been validated with players-held EPTS devices, obtaining a median error of 27 degrees/player. Moreover, three novel types of orientation maps are proposed in order to make raw orientation data easy to visualize and understand, thus allowing further analysis at team- or player-level. ",https://arxiv.org/abs/2003.00943
53,Quantifying Player Chemistry - Joint Expected Threat (JxT),Gerald Lim,Blogpost,Independent,02/12/2020,Playing Style,3,"At the end of my first proper blog post, I mentioned a paper by the team at SciSports who developed a Player Chemistry-quantifying metric using their VAEP framework (Bransen, Van Haaren, 2020). Their paper began with the example of then record signing Andy Carroll and Luis Suarez’s contrasting performances at Liverpool, supporting the notion that signings, regardless of the price tag, are doomed to fail if there’s no chemistry due to a mismatch in playing style. Perhaps more recent examples can further convince you of this occurrence, with Barcelona’s record signings Antoinne Griezzman and Philippe Coutinho performing nowhere near the levels which warranted their purchases so far. As mentioned in Bransen and Van Haaren, despite the importance of player chemistry, this is still a largely overlooked aspect in player evaluation for recruitment purposes, along with existing performance evaluation methods being largely individual-focused (I’m not sure how much this has changed since tbh). Thus, this analysis using JxT represents an attempt to add to the growing work in quantifying player chemistry in football and its uses.",https://glad94.github.io/football/2020-12-02-JxT/
54,The Clinical Finishing Model,Abhishek Amol Mishra,Blogpost,Independent,09/12/2020,"Finishing Skill, Playing Style",,"A lot of analysis in this area of the field has looked at Haaland’s xG overperformance (the difference between the goals— the goals he scored — and xG — the goals he should’ve scored — ). Generally, it has been thought that people who do better than they were expected to score are /clinical finishers/. That is certainly the case but is that all that goes into making a striker a clinical?",https://abhishekamishra.medium.com/the-clinical-finishing-model-d932b9201f57
55,Finishing Ability - Uncovering The Signal,Charles William,Blogpost,Independent,31/08/2020,"Finishing Skill, Expected Goals","55, 57","A step-by-step guide demonstrating how to generate a finishing ability metric from scratch including confidence interval. Typically over/under performance of goal output vs xG is used as an indicator of this ability. This is highly problematic as noise drowns out signal in all but the most extreme abilities or with several seasons' worth of shots. Less common approaches that offer some improvement utilise Bayesian methods. However either the impact of goalkeeper and defender performance is still a component of the output or no attempt at incorporating shot placement and power is made, keeping noise levels high. The method presented makes use of a redefined post-shot xG, producing  something that is applicable to finishing evaluation - unlike the shot on target only version commonly used to evaluate goalkeepers.",https://www.opengoalapp.com/finishing-ability
56,Exceeding Expected Goals,Laurie Shaw,Blogpost,Independent,26/09/2018,"Finishing Skill, Expected Goals",,"Conventional xG models do not take into account the identity of the player taking the shot. You need a dataset comprising many thousands of shots to properly measure chance quality over all positions and situations, meaning that you must aggregate shots from many different players. Of course, you would expect attacking players of the quality of Harry Kane, Mo Salah or Eden Hazard to be more likely to convert a chance than less illustrious forwards, or the average defender or midfielder. Given that xG is calibrated based on the success rate of shots from mostly inferior players, we should therefore expect elite forwards, such as Kane, to outscore the xG total of their shots over a season. But to what extent?",https://eightyfivepoints.blogspot.com/2018/09/exceeding-expected-goals.html
57,Quantifying finishing skill,Marek Kwiatkowski ,Blogpost,Statsbomb,31/07/2017,"Finishing Skill, Expected Goals",,"The consensus in the football analytics community appears to be that finishing skill exists, but is only provable given large samples of shots, and hence estimation of this skill for individual players is impossible at worst and problematic at best.",https://statsbomb.com/2017/07/quantifying-finishing-skill/
58,On shooting statistics - Finishing skill is real,Michael Caley,Blogpost,Independent,25/04/2014,"Finishing Skill, Expected Goals",,"Statistical analysis of football has produced a shocking claim: Player finishing skill is an illusion. When you adjust for the average quality of the chances a player takes, it's very hard to find players who, year to year, score more goals than expected. Take Emmanuel Adebayor for example. With Spurs last season, Adebayor took 42 non-penalty shots. He scored five of them, compared to about six or seven expected goals based on chance quality. This year Ade has taken 41 non-penalty shots and scored 10, compared to about five expected goals. How well a player will finish his chances is extremely hard to predict year-to-year.",https://cartilagefreecaptain.sbnation.com/2014/4/25/5652640/player-finishing-skill-is-real
59,Dynamic Analysis of Team Strategy in Professional Soccer,Laurie Shaw,Presentation,Harvard Sports Analytics Lab,28/02/2020,Playing Style,,"Player motion is strongly influenced by the role they have been allocated within the team’s overall strategy. To quantify the value of player decisions, we must understand the tactical framework within which they play. A key element of strategy is team formation: the spatial distribution of players on the field.",https://drive.google.com/drive/folders/1G3y1Gfqd0UGcds4M-fj4mDx0Ij5cUuVa
60,Defending your PATCH,Thom Lawrence,Blogpost,Independent,07/02/2016,"Playing Style, Defending",,"PATCH is all about defensive territory – where on the pitch a player is responsible for stopping their opponent. We don’t measure this in an idealised way based on formations or anything like that, all we do is look at where a player is actually defending. We take all their defensive actions and draw a line around them – that’s their territory. In the previous version, we only looked at events in a team’s own half or danger zone, so the system wasn’t great at capturing defensive midfielders, who often defend higher up the pitch. That was a problem, but one we needed to solve without including noise from things like aerial challengers on attacking corners etc. It was also a problem that if a player put in even a single tackle in a weird place (a left back on the right wing etc) then the outline of their territory grew hugely.",https://deepxg.com/2016/02/07/defending-your-patch/
61,Introducing a Possession Value framework,Nils Mackay,Blogpost,OptaPro,03/10/2019,Possession & Action Value,,"OptaPro’s Possession Value (PV) framework establishes the probability of a team scoring from an individual possession. The framework assigns credit to individual players based on positive and negative contributions, covering key on-the-ball events. Manchester City’s Riyad Mahrez and Kevin de Bruyne are the standout Premier League performers so far this season, recording the highest Possession Value Added (PV+) outputs.",https://web.archive.org/web/20191124221238/https://www.optasportspro.com/news-analysis/blog-introducing-a-possession-value-framework/
62,Assessing the performance of Premier League goalscorers,Sam Green,Blogpost,OptaPro,12/04/2012,Expected Goals,,"This report aims to show how OptaPro can define what makes a good chance as opposed to an average one, which players are more effective than the quality of their chances would suggest and how goalkeepers’ performance can be measured effectively.",https://web.archive.org/web/20200711092014/https://www.optasportspro.com/news-analysis/assessing-the-performance-of-premier-league-goalscorers/
63,Defensive Metrics: Measuring the Intensity of a High Press,Colin Trainor,Blogpost,Statsbomb,30/07/2014,Defending,64,"In this article, with the use of detailed Opta data, I am going to create a metric that I believe can quantify the extent and aggression of high presses employed by teams, both over a season and in any specific match. I’m going to see if it is possible define the intensity of a press with the use of numbers, more specifically by using some of the events that Opta record.",https://statsbomb.com/2014/07/defensive-metrics-measuring-the-intensity-of-a-high-press/
64,Defensive Metrics - An introduction,Colin Trainor,Blogpost,Statsbomb,10/10/2013,Defending,,"Unlike attacking measures, where it is accepted that more is better (think of shots or possession), the same logic just doesn’t hold true for defensive metrics. In this piece I’m going to concentrate on interceptions and tackles as the main defensive measures. I propose normalising the defensive actions by reference to the number of passes that each team concede. A tackle or interception can only be attempted when the opposition is in possession of the ball. So by looking at defensive or pressing actions compared to the number of passes that each team conceded we will have a fair basis on which we can rate each team’s ability to tackle or win the ball via an interception.",https://statsbomb.com/2013/10/defensive-metrics-an-introduction/
65,The Great Goal Kick Shift,Eliot McKinley,Blogpost,American Soccer Analysis,07/10/2019,Standards,,"During the Renaissance era, the English language went through a revolution where vowel pronunciation radically changed. This was known as The Great Vowel Shift, and ultimately led to modern English. Similarly, in the late 2010s, goal kicks were revolutionized in what I am calling The Great Goal Kick Shift. Seemingly a worldwide phenomenon, the location where goal kicks were taken rapidly shifted from their traditional location at the corners of the 6-yard box towards the center of the field.",https://www.americansocceranalysis.com/home/2019/10/7/the-great-goal-kick-shift
66,Shots in the Dark: how data providers tell us different versions of what happened,Eliot McKinley,Blogpost,American Soccer Analysis,02/10/2019,Data,,"So what do we know about the data that is used for soccer analysis? Previous studies have shown that people are pretty good at agreeing about what type of event occured in a soccer game (e.g. shots, tackles). But as far as I can tell, the accuracy and precision of locations  of game events among the various data providers has not been studied. As Joe Mulberry pointed out when looking at the troubling inconsistencies between spatial tracking data and event data, small differences in locations can have big effects on downstream analysis including expected goals (xG) models. In other words, small inconsistencies in how data is tracked can have big consequences for the models built off that data. So what are the differences between how soccer data providers collect and report their data?",https://www.americansocceranalysis.com/home/2019/9/30/shots-in-the-dark-how-data-providers-tell-us-different-versions-of-what-happened
67,Goals Added: The Art of the Wheel,Eliot McKinley,Blogpost,American Soccer Analysis,07/05/2020,"Possession & Action Value, Visualization",,"In contrast, our player value wheels are comprehensive and represent the totality of a player’s on ball contributions in the same unit, goals added (g+). That constant unit, instead of the percentiles or other scales you’re used to seeing on player vizzes, is why you'll notice a wider range of values on player wheels for passing and receiving than for, say, fouls: passes do most of the work to make a possession valuable. We split a player’s actions up into six categories for display, but we could lump or split them into any number of buckets and they would always sum up to the same g+ value. ",https://www.americansocceranalysis.com/home/2020/5/5/the-art-of-the-wheel
68,Reinventing the passing wheel: What determines a good passer? ,Eliot McKinley,Blogpost,American Soccer Analysis,11/10/2018,Visualization,,"DPOE aims to visualize where a player is good or bad at passing. Expected passes (xPass) gives a global measure of whether a player is better or worse than expected at completing his or her passes. However, some players are better in one direction or another. For example, if you know Lebron James is less likely to score driving to the hoop on his left, you plan your defense to make his go left. If you know that an opponent is a less accurate passer to his right, maybe you gameplan such that that player is forced to do so. ",https://www.americansocceranalysis.com/home/2018/10/11/whatdeterminesagoodpasser
69,Expected Goals 3.0 Methodology,Matthias Kullowatz,Blogpost,American Soccer Analysis,21/04/2015,Expected Goals,,"Many of the variables in the model are intuitive. The distance from the shooter to the goal obviously affects the difficulty of the shot, as well as the angle from which the shot was taken. Shots off corner kicks have a lower chance of going in--once controlled for shot location, angle, body part, and other factors--because the box is packed. Fastbreak shots off through balls have a high chance of going in because the shooter often has time and space. The variables in the basic shooter/team model include: distance, goal mouth available, whether the shot was headed, whether the shot came off a cross or through ball, and whether the shot came from any one of the various patterns of play including corner kicks, direct free kicks, indirect free kicks, fastbreaks, or penalties. The ""regular"" pattern of play is included in the intercept term.",https://www.americansocceranalysis.com/home/2015/4/14/expected-goals-methodology
70,Forget Everything You Think You Know About Goal Kicks,Jared Young,Blogpost,American Soccer Analysis,09/12/2016,Standards,,"Long kicks by goalkeepers are a staple in soccer matches and they are a beautiful sight to behold, but that doesn't mean they are a good idea. By the end of this article I hope to convince you of that fact, even if the data isn't entirely perfect.",https://www.americansocceranalysis.com/home/2016/12/7/attention-goalkeepers-stop-kicking-those-long-balls
71,Time-to-Shot from Goal Kicks & Throw Ins,Thom Lawrence,Blogpost,Independent,03/01/2017,"Standards, Possession & Action Value","70, 72, 1","TTS looks at a particular game state and simply calculates the time – in seconds – until the team in possession makes a shot (Time To Shot For, or TTSF) and the time until their opponents make a shot (Time To Shot Against, or TTSA). The lower this time, the more dangerous the situation for one team or the other, the higher the time, the safer.",https://deepxg.com/2017/01/03/time-to-shot-from-goal-kicks-throw-ins/
72,Time-To-Shot,Thom Lawrence,Blogpost,Independent,05/04/2016,Possession & Action Value,,"Today I’m going to introduce an extremely simple (really, overly simple) approach to answering that question, called Time to Shot, or TTS. TTS looks at a particular game state and simply calculates the time – in seconds – until the team in possession makes a shot (Time To Shot For, or TTSF) and the time until their opponents make a shot (Time To Shot Against, or TTSA). The lower this time, the more dangerous the situation for one team or the other, the higher the time, the safer. Obviously this isn’t taking into account the quality of the shot, and that’s a pity, but it has the advantage that it’s enormously simple to implement.",https://deepxg.com/2016/04/05/time-to-shot/
73,Anatomy of a Shot,Thom Lawrence,Blogpost,Independent,21/05/2015,Expected Goals,,"Quick, analyse this: a player has only 0.5 xG of shots in a game and doesn’t score. Should you get on their back? Are they feeding off scraps? Is their positioning crap? Shooting too early? Waiting too long to shoot? We have no way of knowing with a single headline xG figure, because so much goes into it. So part of my motivation in writing this increasingly long and rambling piece is to map out every possible factor that goes into a shot – how a shot becomes a goal, if you will – highlighting the parts that go into common models, and the parts that are under-represented. I’m then going to argue that expected goals could be split into four separate models with much better names. Then we’ll ignore that suggestion and carry on as before.",https://deepxg.com/2015/10/21/anatomy-of-a-shot/
74,Arsenal’s Injury Woes: Changing Directions,Thom Lawrence,Blogpost,Independent,28/11/2015,Injuries,,"I’d love to see how much recover sprinting arsenal have to do since they don’t rely enough on stopping counters high up the pitch and instead trying to recover into deep positions then from rather deep positions they attempt to counter. Essentially it seems like then play a style that relies a lot on covering large distances quickly. This piqued my interest, and I wondered if all this running backwards and forwards might be quantifiable.",https://deepxg.com/2015/11/28/arsenals-injury-woes-changing-directions/
75,Routine Inspection: Measuring Playbooks for Corner Kicks (Video),"Laurie Shaw, Sudarshan Gopaladesikan",Video,"Harvard Sports Analytics Lab, SL Benfica",06/11/2020,Standards,,"Routine Inspection: Measuring Playbooks for Corner Kicks, presented by Laurie Shaw (Harvard University) at the Oct 23, 2020 meeting of the Sports Analytics Lab at Harvard University/American Statistical Association Section on Statistics in Sports seminar series.",https://www.youtube.com/watch?v=yfPC1O_g-I8
76,"Expected Goals, Tracking Data & Data Accuracy : An Investigation",Joe Mulberry,Blogpost,Independent,28/12/2017,Data,,"For each event compare the distance between the player’s x,y positioning from the event data and the tracking data… for 202,719 events from 77 games. The difference in distance shows the dataset matching error. The mean difference distance between the datasets was 470 cm. Alarming but let’s look closer at the distribution of the differences.",http://www.aquestionoftalent.com/data_stuff/expected-goals-tracking-data-data-accuracy-an-investigation/
77,Uncertainty in xG. Part 1: Overview,Domenic Di Francesco,Blogpost,Independent,10/12/2020,"Expected Goals, Finishing Skill",78,"The Expected Goals (xG) metric is now widely recognised as numerical measure of the quality of a goal scoring opportunity in a football (soccer) match. In this article we consider how to deal with uncertainty in predicting xG, and how each players individual abilities can be accounted for. This is part 1 of the article, which is intended to be free of stats jargon, maths and code. If you are interested in those details, you can also check out part 2.",https://www.allyourbayes.com/post/2020-12-10-uncertainty-in-xg-1/
78,Uncertainty in xG. Part 2: Partial Pooling,Domenic Di Francesco,Blogpost,Independent,10/12/2020,"Expected Goals, Finishing Skill",,"This is part 2 of an article on fitting a Bayesian partial pooling model to predict expected goals. It has the benefits of (a) quantifying aleatory and epistemic uncertainty, and (b) making both group-level (player-specific) and population-level (team-specific) probabilistic predictions. If you are interested in these ideas but not in statistical language, then you can also check out part 1.",https://www.allyourbayes.com/post/2020-12-10-uncertainty-in-xg-2/
79,How Our Club Soccer Predictions Work ,Jay Boice,Blogpost,FiveThirtyEight,02/07/2020,Team Strength,,"The forecasts are based on a substantially revised version of ESPN’s Soccer Power Index (SPI), a rating system originally devised by FiveThirtyEight editor-in-chief Nate Silver in 2009 for rating international soccer teams. We have updated and adapted SPI to incorporate club soccer data going back to 1888 (from more than 550,000 matches in all) that we’ve collected from ESPN’s database and the Engsoccerdata GitHub repository, as well as from play-by-play data produced by Opta that has been available since 2010.",https://fivethirtyeight.com/methodology/how-our-club-soccer-predictions-work/
81,Are bad shots actually good? ,Ben Torvaney,Blogpost,Independent,24/01/2021,"Playing Style, Expected Goals",,"That teams should prioritise high-quality shots has been a common refrain in the public analytics sphere for years. The fact that fewer, high-quality shots can increase win % is even the default example in Danny Page’s Match Expected Goals Simulator. Over time, there’s been an increasing number of counter-arguments that poor-quality shots (long-shots especially) may have some utility. For example, by keeping a team’s attack from being too predictable, or being a generally positive expected-value way to dispose of a possession.",http://www.statsandsnakeoil.com/2021/01/24/are-bad-shots-actually-good/
82,Evaluating Soccer Player - from Live Camera to Deep Reinforcement Learning,"Paul Garnier, Theophane Gregoir",Paper,"MINES Paristech, SportsDynamics, Paris Saclay",13/01/2021,"Computer Vision, Possession & Action Value",83,"Scientifically evaluating soccer players represents a challenging Machine Learning problem. Unfortunately, most existing answers have very opaque algorithm training procedures; relevant data are scarcely accessible and almost impossible to generate. In this paper, we will introduce a two-part solution: an open-source Player Tracking model and a new approach to evaluate these players based solely on Deep Reinforcement Learning, without human data training nor guidance. Our tracking model was trained in a supervised fashion on datasets we will also release, and our Evaluation Model relies only on simulations of virtual soccer games. Combining those two architectures allows one to evaluate Soccer Players directly from a live camera without large datasets constraints. We term our new approach Expected Discounted Goal (EDG), as it represents the number of goals a team can score or concede from a particular state. This approach leads to more meaningful results than the existing ones that are based on real-world data, and could easily be extended to other sports. ",https://arxiv.org/abs/2101.05388
83,Optimizing Through Learned Errors for Accurate Sports Field Registration,"Wei Jiang, Juan Camilo Gamboa Higuera, Baptiste Angles, Weiwei Sun, Mehrsan Javan, Kwang Moo Yi",Paper,"University of Victoria, McGill University, Sportlogiq",28/05/2020,Computer Vision,,"We propose an optimization-based framework to register sports field templates onto broadcast videos. For accurate registration we go beyond the prevalent feed-forward paradigm. Instead, we propose to train a deep network that regresses the registration error, and then register images by finding the registration parameters that minimize the regressed error. We demonstrate the effectiveness of our method by applying it to real-world sports broadcast videos, outperforming the state of the art. We further apply our method on a synthetic toy example and demonstrate that our method brings significant gains even when the problem is simplified and unlimited training data is available. ",https://arxiv.org/abs/1909.08034
84,Ready Player Run: Off-ball run identification and classification,Sam Gregory,Paper,Independent,28/09/2019,Tracking Data,,"One of the major downfalls of tracking data in football is the lack of a common language to describe actions that take place off the ball, particularly patterns of player movement. This paper provides a method for identifying and classifying off-ball in possession runs into similar groups to allow for more generalisable analysis. The objective is to create a vocabulary of run types that can be used to better describe or analyse specific runs and be queried more easily than raw tracking data. These runs are identified by segmenting the raw tracking data using periods of high player speed and acceleration, then classifying them using a clustering method with functional cluster centres modelled as Bézier curves. These run clusters are used to analyse positional trends as well as player archetypes based on common runs. We also discuss a series of potential extensions using these run types as the basis for further analysis based on pre-existing work with tracking data.",https://static.capabiliaserver.com/frontend/clients/barca/wp_prod/wp-content/uploads/2020/01/40ba07f4-ready-player-run-barcelona.pdf
85,Changing How the World Thinks About Set Pieces,Ted Knutson,Blogpost,Statsbomb,22/02/2017,Standards,,"The first project I officially worked on inside football didn't involve statistics, but it did involve analysis. My task was to take all the video for teams we knew were unusually good at set pieces, analyse what they were doing, and build a guide of best practices. Needless to say, we had some success. What follows is a translation of two presentations I typically give to teams about this topic. I believe my work here remains fairly unique in the football world, and it has certainly benefited from working with top coaches like Gianni Vio and Brian Priske.",https://statsbomb.com/2017/02/changing-how-the-world-thinks-about-set-pieces/
86,Mythbusting Set-Pieces in Soccer,"Paul Power, Jennifer Hobbs, Hector Ruiz, Xinyu Wei, Patrick Lucey",Paper,STATS AI Group,23/02/2018,Standards,,"In the 2016-2017 English Premier League season, 16% of all goals scored came from set-pieces (corners and free kicks). However, there exists a great disparity in those numbers as a team such as West Bromwich Albion scored 16 out of their 43 goals from set-pieces (>35% of their goals), whilst others obtain less than 7% of their goals from set-pieces (e.g., Sunderland scored 2 out of their 29 goals from set-pieces). The gap in resources between the richest and poorest teams in world football is growing wider each season as demonstrated by Paris St German spending a world record 220 million Euro on Neymar who scored 15 goals. The ability for a small market team to replicate the same goal output for the price of an effective set-piece strategy is a clear market inefficiency that can be exploited. Therefore, any new method that can help teams exploit this inefficiency would be a key advantage.",https://raw.githubusercontent.com/larsmaurath/soccer-analytics-library/main/data/Backups/Mythbusting%20Set-Pieces%20in%20Soccer%20(Power%20et%20al%2C%202018).pdf
87,A Data Driven Goalkeeper Evaluation Framework,Derrick Yam,Paper,Statsbomb,02/03/2019,Goalkeeping,88,"In this manuscript, we outline a framework to analyze goalkeepers on key responsibilities: Shot Stopping, Cross Collection, Defensive Activities, and Distribution. This framework allows for improved transfer scouting, player development, and tactical analysis.  We also construct a matching algorithm to identify similar goalkeepers within specified parameters. Our results quantitatively rank David de Gea as the best shot-stopper in the EPL and Ederson, as the most active goalkeeper with the largest defensive territory, and the top distributor.",https://global-uploads.webflow.com/5f1af76ed86d6771ad48324b/5f6d337d392f8617cd75bc0b_Data-Driven-Goalkeeper-Evaluation-Framework-1.pdf
88,Goalkeepers: How repeatable are shot saving performances?,Colin Trainor,Blogpost,Statsbomb,21/10/2014,Goalkeeping,,"Assessing the skills of goalkeepers is exceptionally difficult, and it’s why I have never attempted to do it. As well as the basic and fundamental skill of shot stopping, the best goalkeepers will be able to effectively assess situations and decide whether to advance or stay on their line. How they deal with a high ball is also important, as is their distribution and their communication and organisational skills. Combine those altogether and you have a range of skills that would be very difficult to measure using conventional statistics.",https://statsbomb.com/2014/10/goalkeepers-how-repeatable-are-shot-saving-performances/
89,Choke or Shine? Quantifying Soccer Players'Abilities to Perform Under Mental Pressure,"Lotte Bransen, Pieter Robberechts, Jan Van Haaren, Jesse Davis",Paper,"KU Leuven, SciSports",02/03/2019,Psychology,,This paper takes a first step towards objectively providing insight into the question: How will a soccer player perform and behave during high-mental-pressure game situations?,https://global-uploads.webflow.com/5f1af76ed86d6771ad48324b/5f6d326ee6f115864f78358a_Choke-or-Shine-Quantifying-Soccer-Players-Abilities-to-Perform-Under-Mental-Pressure.pdf
